said,21.037530811737554
case,12.865137530695028
time,10.095929899088123
executions,10.077820107213585
mr,9.902615493435691
capital punishment,9.775320590656285
just,7.911555309169307
like,7.875731745235997
government,7.743277278129479
judge,7.546269919810048
texas,7.305590258000421
supreme court,7.065976598922405
world,6.894251730217051
iran,6.559040316917582
countries,6.475847560571225
legal,6.365781829674917
told,6.139941095893215
country,6.0770840939884465
think,5.921561031397044
number,5.853450480286662
jury,5.789884462964175
says,5.774172687517347
including,5.7633320493369995
report,5.71332012594152
used,5.661405157364435
way,5.646571594690817
article,5.5441894312993725
killing,5.467741147389535
make,5.405934403613007
day,5.394017484833936
sentenced death,5.354700885655385
president,5.348742790986308
say,5.338846213104101
according,5.327020726451046
federal,5.279791367745005
death sentence,5.260773155454801
men,5.248037817088595
sentencing,5.223111041128783
does,5.215494044286459
women,5.165167636362655
victim,5.101424040792399
amnesty international,5.07166512553193
killed,5.002822306016551
society,4.974774127707856
process,4.9554261534312
defendants,4.897739626123457
american,4.89193746713526
united states,4.853117253939576
work,4.841675494966364
decision,4.81607454140897
innocence,4.784574199959218
national,4.772464700764195
courts,4.762554679416642
prosecutors,4.69885486005059
california,4.652410889621123
accused,4.65032493210531
given,4.646431597050677
didn,4.625644139036469
study,4.624649123476933
torture,4.597890464296531
long,4.553526145348335
based,4.541065330441104
office,4.520215933511884
lawyer,4.479875113347223
end,4.47552910836551
defense,4.405079058090045
released,4.387642442748023
guilty,4.371679851898635
want,4.294885601451892
research,4.221191559831914
believe,4.196414460909681
god,4.172457861352056
defendant,4.1497560470362
children,4.114368290068896
shall,4.109601760556463
fact,4.0894886406925846
death sentences,4.075661771929752
violence,4.074182455313491
age,4.063869940529353
going,4.05044018812568
black,4.048333589257977
child,4.042458402518131
question,4.040312252497155
percent,4.033324214253323
florida,4.0184185765493705
china,4.003464116778377
committee,3.9843707085866136
criminals,3.9769701497428755
university,3.9584400815199827
exonerated,3.941608143062713
judges,3.9401377761928837
called,3.9229635700055576
white,3.905927823533284
laws,3.8852747693176046
lawyers,3.8798337754978904
issue,3.8779338178024747
kill,3.8694549171615695
likely,3.861868620143762
year old,3.854297472649489
today,3.783758976251768
home,3.769014196663215
group,3.767470132532076
america,3.7637554164755693
officials,3.7393770925634633
rate,3.72906249664658
really,3.6867793022282975
free,3.680319811523777
need,3.6798348265497918
house,3.676395648551253
trump,3.659657615876751
second,3.616335872068636
away,3.560048978916767
days,3.5542732525784344
good,3.5417537637675056
social,3.530632386807683
security,3.52478491211608
wrong,3.5113889530321227
judicial,3.471650121253801
data,3.470878588757925
held,3.466923879563643
read,3.465340685809809
ve,3.430642941961374
story,3.4226744972919336
practice,3.4210878445391955
face,3.4179424112601966
testimony,3.3975164347259734
individuals,3.3758493385354558
risk,3.3679063166791896
known,3.357648612540922
criminal justice,3.3567607217501307
set,3.337922237285988
prisoner,3.335873612429581
campaign,3.327139310641754
got,3.324695104370775
example,3.3205619853650714
arrested,3.3138151099554083
news,3.306234651769966
history,3.2951169308271857
executioner,3.2942057025850784
majority,3.289040767848352
order,3.2833281037797466
lethal injection,3.280613337761099
following,3.279814522499081
wrote,3.2718477031000472
governor,3.2593823858115365
die,3.2591950215356404
prosecution,3.247167101343743
book,3.2400688585345847
review,3.2373514315566587
carried,3.224868396802914
past,3.21708875023646
statement,3.2150387764233845
woman,3.2114508373769226
media,3.205420215285985
medical,3.2004278248059586
money,3.198791900729193
father,3.189008027123769
war,3.18362463802002
constitution,3.1830572959330836
americans,3.1758737133205615
spent,3.1742737419230322
help,3.1736206706440586
despite,3.153343103339732
condemned,3.1532310673653723
lives,3.140886521492115
power,3.11823729345513
months,3.1166074963407593
alabama,3.109052394811859
taken,3.1086548723157796
young,3.103749711788194
violent,3.101572404701064
race,3.1005638124870445
reported,3.0968748915301956
release,3.093628380225957
march,3.0897981746260523
opinion,3.089560642338731
john,3.082656738999289
came,3.0780538937648467
prisons,3.075634945469404
special,3.0717243551603497
left,3.0654965631571516
means,3.0611148972424957
charges,3.028301659210425
military,3.018311748736177
trials,3.0118603583938857
received,3.0104174049338788
georgia,2.9982813432419473
brother,2.9962347370749285
change,2.988423736223819
week,2.9870299737501322
having,2.9867201946435387
better,2.9863638014828346
reason,2.9826720327820104
body,2.972924955549318
far,2.972748401130297
community,2.9646781690853152
april,2.95524728299319
possible,2.9538220419101267
point,2.9484017171434753
doesn,2.944691965234283
eye eye,2.934154654762195
poor,2.934079959624621
things,2.933630148338405
certain,2.9253063385080598
witness,2.9230539153568325
al,2.9212110181938544
education,2.9209388921669315
million,2.915289526522138
thompson,2.9088908799608855
groups,2.9082723901573004
actually,2.907503342949077
mother,2.887635850167209
let,2.8821365171863396
taking,2.870721823374419
program,2.86747612554597
virginia,2.8672713347591907
professor,2.865057738662333
pakistan,2.862490936495691
come,2.859971470791062
blood,2.853328699628137
offender,2.8501113940426652
section,2.845730950736139
execute,2.840733281036773
persons,2.8403149241523873
thought,2.8386020026363057
counsel,2.838332144149037
director,2.8372391792839817
policy,2.833666824430795
city,2.833617301744275
issues,2.831056066134049
experts,2.826800846558845
care,2.825670948426752
hours,2.8220808245248605
detention,2.8219142367117094
murders,2.7971770203986503
individual,2.7960967261697203
author,2.781885289055483
look,2.7814439722483573
cell,2.7748765244392244
son,2.77217037184194
result,2.763954244568732
decades,2.7599687698402406
hope,2.751352907462818
reasons,2.742278498997689
rates,2.707408997306861
punishments,2.6972747559816392
instead,2.6955576848544425
added,2.6931163000562504
jurors,2.6929517993162393
studies,2.6869831780110323
nearly,2.6862835344705247
